Megachile albitarsis,Sabal etonia
Bombyliidae,Cerastium arvense
Diadasia rinconis,Ferocactus cylindraceus
Apis mellifera,Purshia X subintegra
Self pollinated,Pogogyne floribunda
Bombus,Pisum sativum
Diptera,Symphyotrichum oblongifolium
Bees,Psychotria mauiensis
Self pollinated,Platanthera aquilonis
Bees,Arctostaphylos pringlei
Wind,Koanophyllon solidaginifolium
Coleoptera,Lomatium dissectum
Diptera,Lobularia maritima
Diptera,Phyllostegia macrophylla
Problema bulenta,Pontederia cordata
Colias philodice,Lythrum salicaria
Insecta,Flueggea virosa
Anthophora plumipes,Narcissus pseudonarcissus
Ochlodes,Dianthus carthusianorum
Insecta,Sagittaria latifolia
Diptera,Sambucus racemosa
Manduca quinquemaculata,Mirabilis multiflora
Bees,Metrosideros polymorpha
Bees,Gaultheria shallon
Xylocopa,Delphinium nuttallianum
Bees,Sambucus racemosa
Diptera,Eriogonum fasciculatum var. polifolium
Megachile latimanus,Asclepias verticillata
Bees,Vaccinium crassifolium
Sarcophaga,Croton texensis
Bees,Barbarea vulgaris
Wasps,Croton texensis
Vespula germanica,Scrophularia nodosa
Staphylinidae,Magnolia tripetala
Bees,Eupatorium resinosum
Bees,Erythronium elegans
Bees,Eriodictyon californicum
Osmia lignaria,Prunus americana
Bees,Hydrangea arborescens
Diptera,Trillium flexipes
Papilio demoleus,Impatiens trichocarpa
Apis mellifera,Pyxidanthera barbulata
Bees,Galactia smallii
Bees,Mirabilis rotundifolia
Trochilidae,Echinocereus triglochidiatus
Bees,Argemone polyanthemos
Bees,Rhus copallinum var. copallinum
Tachinidae,Ailanthus altissima
Lepidoptera,Eriogonum fasciculatum
Trochilidae,Asclepias incarnata
Halictus ligatus,Callirhoe involucrata
Lepidoptera,Salix nigra
Osmia,Townsendia aprica
Apis dorsata,Foeniculum vulgare
Coleoptera,Viburnum prunifolium
Bees,Allium haematochiton
Diptera,Lycium barbarum
Coleoptera,Fritillaria agrestis
Trochilidae,Heuchera villosa
Bombus impatiens,Solanum carolinense
Bees,Phacelia hastata
Lepidoptera,Smilax melastomifolia
Diptera,Lobelia boykinii
Lepidoptera,Datura wrightii
Bombus,Cercis occidentalis
Bees,Desmodium setigerum
Nymphalidae,Lantana camara
Colletes simulans armatus,Asclepias uncialis
Trochilidae,Agave X arizonica
Bombus,Mimulus guttatus
Coleoptera,Rudbeckia hirta
Gastropoda,Asarum canadense
Coleoptera,Callirhoe involucrata
Bees,Silphium laciniatum
Diptera,Artemisia mauiensis
Xylocopa virginica,Catalpa speciosa
Trochilidae,Lilium canadense
Euphydryas editha,Linanthus androsaceus
Wind,Malva neglecta
Diadasia rinconis,Callirhoe involucrata
Bombus,Vicia faba
Diptera,Symphyotrichum laeve var. concinnum
Bees,Stewartia ovata
Trochilidae,Actaea racemosa
Apis,Toxicodendron rydbergii
Trochilidae,Castilleja miniata
Diptera,Cornus florida
Bombus,Psoralea tenuiflora
Bombus,Petunia exserta
Herpetogramma phaeopteralis,Ageratina aromatica
Bees,Brighamia insignis
Danaus plexippus,Platanthera blephariglottis
Bees,Spiraea alba
Diptera,Sassafras albidum
Lasioglossum coeruleum,Cypripedium arietinum
Bees,Eurybia spectabilis
Syrphidae,Lycium barbarum
Lepidoptera,Cercis occidentalis
Vanessa,Berberis repens
Osmia,Brodiaea pallida
Hymenoptera,Toxicodendron rydbergii
Bees,Penstemon whippleanus
Andrena ziziae,Cypripedium candidum
Lepidoptera,Sidalcea neomexicana
Apis,Origanum vulgare
Bees,Aronia arbutifolia
Bombus,Thermopsis montana
Coleoptera,Cephalanthus occidentalis
Bees,Borago officinalis
Bombus,Aesculus turbinata
Bees,Achillea millefolium
Bombyliidae,Muscari botryoides
Bees,Asclepias californica
Lepidoptera,Liatris spicata
Lepidoptera,Penstemon digitalis
Apis,Nasturtium officinale
Sphecidae,Asclepias syriaca
Diptera,Parnassia fimbriata
Trochilidae,Dudleya anthonyi
Bees,Amorpha fruticosa
Bees,Penstemon palmeri
Diptera,Papaver orientale
Bombus,Brassica oleracea
Andrena pulverea,Limnanthes vinculans
Zosterops japonicus,Cyanea pinnatifida
Papilio troilus,Platanthera blephariglottis
Lepidoptera,Spiranthes delitescens
Bombus flavifrons,Astragalus americanus
Sphingidae,Manfreda virginica
Coleoptera,Arnica cordifolia
Bees,Convallaria majalis
Bombus sonorus,Downingia cuspidata
Hymenoptera,Phoradendron serotinum
Bees,Polemonium reptans
Insecta,Holodiscus discolor var. dumosus
Diptera,Asimina triloba
Limenitis weidemeyerii,Lupinus argenteus
Apidae,Physocarpus amurensis
Coleoptera,Euonymus americanus
Lepidoptera,Echinacea pallida
Coleoptera,Silphium laciniatum
Bombus,Wyethia amplexicaulis
Diadasia,Acanthomintha ilicifolia
Coleoptera,Heterotheca grandiflora
Bombus,Aesculus parviflora
Lepidoptera,Gazania krebsiana
Parnassius smintheus smintheus,Packera fendleri
Lepidoptera,Liatris ohlingerae
Diptera,Silphium laciniatum
Bombus flavifrons,Oxytropis campestris var. chartacea
Bees,Calochortus striatus
Self pollinated,Silene virginica
Wasps,Penstemon laetus
Bees,Ephedra viridis
Hymenoptera,Psoralea esculenta
Bees,Clermontia montis-loa
Bees,Rhodiola integrifolia
Trochilidae,Ipomopsis aggregata ssp. formosissima
Perdita polygonellae,Polygonella basiramia
Diadasia,Opuntia polyacantha
Lepidoptera,Polemonium reptans
Bees,Asclepias lanceolata
Bombus,Aesculus glabra
Bees,Iliamna rivulari
Ufa rubedinella,Ageratina aromatica
Halictidae,Verbena hastata
Lepidoptera,Wyethia amplexicaulis
Wind,Quercus hinckleyi
Wasps,Dasylirion wheeleri
Bombus impatiens,Solanum violaceum
Bees,Gordonia lasianthus
Wasps,Prunus serotina
Hetrosarellus,Ludwigia elegans
Coleoptera,Hexastylis shuttleworthii var. shuttleworthii
Bombus,Oxytropis sericea
Halictus tripartitus,Callirhoe involucrata
Bees,Calypso bulbosa
Syrphidae,Pogogyne nudiuscula
Bombylius,Liatris aspera
Lepidoptera,Helenium pinnatifidum
Bees,Baptisia leucophaea
Anoura geoffroyi,Tillandsia macropetala
Bees,Baptisia australis
Lepidoptera,Arctostaphylos edmundsii
Papilio eurymedon,Lilium philadelphicum
Vespula maculifrons,Impatiens capensis
Bees,Iris cristata
Trochilidae,Epilobium canum
Apis,Swertia przewalskii
Bees,Dianella sandwicensis
Lepidoptera,Rhododendron austrinum
Trochilidae,Astragalus coccineus
Lepidoptera,Rhododendron catawbiense
Insecta,Wyethia amplexicaulis
Diptera,Mentzelia nuda
Self pollinated,Platanthera clavellata
Bees,Geranium maculatum
Myzinum,Asclepias verticillata
Bees,Psychotria mariniana
Chalcididae,Lobularia maritima
Self pollinated,Aplectrum hyemale
Augochlora pura,Sabal palmetto
Self pollinated,Gayophytum diffusum
Apis,Ludwigia suffruticosa
Pegoplata juvenilis,Liparis liliifolia
Self pollinated,Castilleja cryptantha
Colletes,Pyxidanthera barbulata
Bees,Arnica mollis
Heterostylum croceum,Stylisma pickeringii var. pattersonii
Bees,Phlox stolonifera
Hermeuptychia sosybius,Melanthera nivea
Lepidoptera,Allium gooddingii
Lepidoptera,Rhamnus californica ssp. californica
Diadasia Rinconis,Cylindropuntia whipplei
Xylocopa nigrita,Desmodium setigerum
Bombus,Aeschynomene virginica
Coleoptera,Magnolia tripetala
Wind,Amaranthus pumilus
Bees,Clarkia purpurea
Bombus ternarius,Arethusa bulbosa
Leptotes cassius theonus,Galactia smallii
Lepidoptera,Asclepias syriaca
Bees,Fendlera rupicola
Bombus impatiens,Capsicum frutescens
Bees,Solidago speciosa
Apidae,Parnassia palustris
Formica fusca,Arceuthobium americanum
Wasps,Scrophularia nodosa
Bees,Arctostaphylos pungens
Diptera,Silene latifolia
Carpophilus lugubris,Magnolia tripetala
Trochilidae,Liatris spicata var. spicata
Bees,Liatris pycnostachya
Polites mystic,Platanthera blephariglottis
Diptera,Rosa woodsii
Osmia,Cypripedium parviflorum
Anthophila,Liatris laevigata
Trochilidae,Salvia mellifera
Bombus,Linaria vulgaris
Self pollinated,Nepeta cataria
Bees,Astragalus drummondii
Bombus frigidus,Saussurea weberi
Diptera,Drymocallis glandulosa var. glandulosa
Bembix,Abutilon indicum
Diptera,Solidago caesia
Coleoptera,Clermontia hawaiiensis
Trochilidae,Clethra acuminata
Lepidoptera,Helianthus gracilentus
Bees,Peritoma lutea
Bombus,Delphinium recurvatum
Colletes compactus,Asclepias verticillata
Bombus occidentalis,Actaea arizonica
Lepidoptera,Clematis virginiana
Lepidoptera,Vernonia noveboracensis
Coleoptera,Oxypolis rigidior
Bees,Helenium autumnale
Alypia octomaculata,Physaria filiformis
Lepidoptera,Arnica fulgens
Bees,Gilia tricolor
Coleoptera,Coreopsis tinctoria
Mycetophila,Neottia cordata
Lepidoptera,Abutilon menziesii
Bees,Silene latifolia
Halictus,Iliamna remota
Bees,Crataegus douglasii
Hymenoptera,Linum lewisii
Calliphoridae,Parnassia palustris
Wasps,Solidago speciosa
Lepidoptera,Crataegus mollis
Bees,Senecio serra
Coleoptera,Aronia melanocarpa
Syrphidae,Purshia X subintegra
Lepidoptera,Illicium floridanum
Lasioglossum anomalum,Cypripedium candidum
Anthophila,Onopordum acanthium
Xylocopa micans,Sabal etonia
Coleoptera,Magnolia grandiflora
Ascia monuste,Mitracarpus maxwelliae
Insecta,Helenium autumnale
Chiroptera,Agave americana
Macroglossum variegatum,Impatiens trichocarpa
Augochlorella aurata,Pyxidanthera barbulata
Lepidoptera,Cornus glabrata
Lepidoptera,Kalmia latifolia
Lepidoptera,Lantana camara
Trochilidae,Rhododendron maximum
Bees,Tagetes erecta
Andrena blennospermatis,Blennosperma bakeri
Bees,Caltha palustris
Nomia,Desmodium setigerum
Megachile,Ipomopsis globularis
Apis,Nolina greenei
Wind,Castanea ozarkensis
Diptera,Linum lewisii
Lepidoptera,Solidago sempervirens ssp. mexicana
Lepidoptera,Liatris aspera
Apis,Pediocactus knowltonii
Lepidoptera,Hypericum prolificum
Bees,Heterotheca subaxillaris
Lepidoptera,Wikstroemia phillyreifolia
Diptera,Polyscias sandwicensis
Colletes,Chloropyron maritimum ssp. maritimus
Lepidoptera,Oenothera pallida
Bees,Papaver orientale
Wasps,Parthenocissus quinquefolia
Trochilidae,Castilleja kaibabensis
Wind,Betula glandulosa
Diptera,Santalum paniculatum
Birds,Metrosideros polymorpha
Bees,Ribes menziesii
Diptera,Nasturtium officinale
Megacyllene robiniae,Solidago altissima
Coleoptera,Iris virginica
Lasioglossum ornduffi,Jepsonia parryi
Diptera,Sidalcea malviflora
Bees,Primula meadia
Bombyliidae,Arnica fulgens
Bees,Symphyotrichum cordifolium
Diptera,Rhus copallinum
Stellula calliope,Delphinium nuttallianum
Bees,Lilium columbianum
Apis mellifera,Lasthenia burkei
Diptera,Geum peckii
Bees,Actaea rubra
Bees,Cerastium arvense
Apis,Echinacea angustifolia
Apis,Papaver orientale
Musca domestica,Daucus carota
Stelis pavonina,Townsendia aprica
Bees,Impatiens glandulifera
Hymenoptera,Ajuga reptans
Hymenoptera,Penstemon debilis
Cerambycidae,Trillium ovatum
Thrips,Cynoglossum officinale
Papilio glaucus glaucus,Ribes cereum
Diadasia rinconis,Ferocactus wislizeni
Diptera,Cyrtandra platyphylla
Bees,Thermopsis montana
Apis mellifera,Desmodium setigerum
Apis,Elaeagnus angustifolia
Bombus,Spiranthes delitescens
Bees,Polygonatum multiflorum
Diptera,Helenium autumnale
Andrena angustitarsata,Limnanthes vinculans
Lepidoptera,Trientalis borealis
Melissodes,Eriastrum densifolium
Insecta,Dendromecon rigida
Bees,Iris fulva
Self pollinated,Purshia tridentata
Diadasia afflicta,Callirhoe involucrata
Lepidoptera,Salvia leucophylla
Bees,Calochortus albus
Bombus rufocinctus,Potentilla recta
Anthophoridae,Hibiscus moscheutos
Halictidae,Thalictrum dasycarpum
Bombyliidae,Minuartia uniflora
Bombus,Agave X arizonica
Bees,Diospyros hillebrandii
Lepidoptera,Packera plattensis
Bees,Diervilla lonicera
Bees,Potentilla fruticosa
Sphinx,Oenothera cespitosa
Phyllobaenus subfasciatus,Amorpha canescens
Self pollinated,Mirabilis jalapa
Ceratina,Cypripedium parviflorum
Insecta,Agoseris glauca
Wind,Artemisia ludoviciana
Bombus,Iris cristata
Lepidoptera,Symphyotrichum ericoides
Trochilidae,Rhododendron canadense
Psaenythia,Kallstroemia grandiflora
Wasps,Epipactis helleborine
Lepidoptera,Symphyotrichum oblongifolium
Diapriidae,Cypripedium fasciculatum
Andrena,Cypripedium parviflorum
Apis,Linaria vulgaris
Insecta,Gutierrezia sarothrae
Coleoptera,Aquilegia coerulea
Coleoptera,Sphaeralcea coccinea
Diptera,Perrottetia sandwicensis
Trochilidae,Salvia leucophylla
Bees,Penstemon digitalis
Insecta,Penstemon cyananthus
Osmia cornifrons,Pyrus malus
Bees,Pittosporum confertiflorum
Coleoptera,Solidago velutina ssp. califonica
Trochilidae,Lilium michauxii
Bees,Cornus alternifolia
Self pollinated,Spiranthes parksii
Xylocopa,Pilosocereus royenii
Apidae,Lepidium papilliferum
Megachilidae,Brodiaea filifolia
Self pollinated,Rudbeckia triloba
Colletes petalostemonis,Dalea searlsiae
Calliopsis andreniformis,Desmodium paniculatum
Lepidoptera,Aesculus californica
Phaenicia,Pyxidanthera barbulata
Self pollinated,Dodecahema leptoceras
Trochilidae,Bignonia capreolata
Lasioglossum,Conradina verticillata
Andrenidae,Cypripedium montanum
Lepidoptera,Iliamna rivulari
Trochilidae,Keckiella antirrhinoides
Lepidoptera,Hibiscus clayi
Coleoptera,Fragaria chiloensis
Bees,Lithospermum caroliniense
Coleoptera,Freycinetia arborea
Hymenoptera,Conyza canadensis
Diptera,Polemonium viscosum
Hadena,Saponaria officinalis
Apis mellifera,Echinacea angustifolia
Lepidoptera,Wikstroemia uva-ursi
Apis mellifera,Fremontodendron mexicanum
Bees,Aconitum columbianum
Lepidoptera,Baptisia tinctoria
Bees,Itea virginica
Bombus,Ailanthus altissima
Trochilidae,Castilleja integra
Coleoptera,Cornus canadensis
Self pollinated,Hackelia cronquistii
Lepidoptera,Rudbeckia laciniata
Andrena carlini,Erythronium propullans
Apis,Clethra acuminata
Bees,Chlorogalum pomeridianum
Euphydryas editha,Lomatium macrocarpum
Lepidoptera,Aruncus dioicus var. dioicus
Bees,Xanthorhiza simplicissima
Bees,Eriophyllum latilobum
Andrena distans,Geranium maculatum
Megachile albitarsis,Heterotheca subaxillaris
Coleoptera,Magnolia virginiana
Trochilidae,Sphaeralcea coccinea
Trochilidae,Penstemon payettensis
Hymenoptera,Flueggea virosa
Bees,Vitis rotundifolia
Copidosoma bakeri,Arceuthobium campylopodum
Peritaxia hispida,Argemone hispida
Ceratina calcarata,Conradina verticillata
Bees,Sorbus americana
Apis cerana cerana,Sagittaria trifolia
Augochloropsis anonyma,Jacquemontia reclinata
Bees,Osteomeles anthyllidifolia
Bees,Limnanthes alba
Andrena,Corallorhiza maculata
Syrphidae,Phacelia campanularia
Lepidoptera,Packera aurea
Bees,Ilex glabra
Trochilidae,Castilleja affinis
Lepidoptera,Nolina brittoniana
Bombus,Phaseolus coccineus
Bees,Bidens cosmoides
Lepidoptera,Cryptantha intermedia
Bees,Tellima grandiflora
Bombus californicus,Downingia cuspidata
Bees,Scaevola coriacea
Megachilidae,Astragalus schmolliae
Bees,Physostegia leptophylla
Lepidoptera,Crataegus crus-galli
Bees,Astragalus crassicarpus
Osmia cornuta,Pyrus malus
Andrenidae,Gilia achilleifolia
Coleoptera,Doellingeria umbellata
Diptera,Asclepias hirtella
Apis,Dieteria canescens
Diptera,Silphium integrifolium
Diptera,Malaxis monophyllos
Wasps,Rudbeckia triloba
Bees,Heterotheca grandiflora
Birds,Hibiscus brackenridgei
Epuraea,Magnolia tripetala
Ceratogastra ornata,Asclepias verticillata
Bombus californicus,Castilleja hispida
Diptera,Nesoluma polynesicum
Diptera,Psychotria mariniana
Diptera,Sanicula bipinnatifida
Lepidoptera,Waltheria indica
Thrips,Ageratum conyzoides
Ceratina,Rudbeckia triloba
Megachile pugnatus,Cirsium pumilum var. hillii
Bombus nevadensis,Cypripedium acaule
Bombus fervidus,Napaea dioica
Wasps,Verbena hastata
Diptera,Daucus carota
Lepidoptera,Mertensia franciscana
Apis mellifera,Conradina verticillata
Hemaris diffinis,Manfreda virginica
Bees,Artemisia mauiensis
Anthophora,Ipomopsis globularis
Bees,Argemone glauca
Bees,Vaccinium corymbosum
Apioceridae,Portulaca lutea
Zosterops japonicus,Cyanea leptostegia
Augochlorella aurata,Synthyris bullii
Bombus griseocollis,Marrubium vulgare
Lepidoptera,Oenothera suffrutescens
Lepidoptera,Parnassia palustris
Diptera,Malva moschata
Bees,Delphinium carolinianum
Staphylinidae,Magnolia virginiana
Perdita mohavensis,Arctomecon humilis
Lepidoptera,Actaea podocarpa
Diptera,Ilex decidua
Apis dorsata,Impatiens trichocarpa
Lepidoptera,Delissea rhytidosperma
Bees,Sedum lanceolatum
Hymenoptera,Cuscuta epithymum
Chiroptera,Mezonevron kavaiense
Bees,Rudbeckia occidentalis
Diptera,Trillium erectum
Xylocopa,Asclepias syriaca
Halictus,Pyrus malus
Diptera,Viburnum dentatum
Diptera,Cornus drummondii
Trochilidae,Brodiaea ida-maia
Lepidoptera,Ericameria linearifolia
Manduca quincemaculata,Cnidoscolus texanus
Bees,Polygala myrtifolia
Apis,Linum lewisii
Ceratina nanula,Potentilla gracilis
Osmia brevis,Penstemon griffinii
Coleoptera,Helianthus schweinitzii
Lepidoptera,Coreopsis grandiflora
Lepidoptera,Crataegus aestivalis
Wasps,Opuntia phaeacantha
Habropoda,Delphinium nuttallianum
Self pollinated,Alyssum alyssoides
Andrena barbilabris,Cypripedium candidum
Bees,Gilia capitata
Bees,Rubus parviflorus
Bees,Vaccinium reticulatum
Insecta,Frasera speciosa
Lepidoptera,Psydrax odorata
Bombylius fraudulentus,Stylisma pickeringii var. pattersonii
Diptera,Euphorbia esula
Bombylius,Salvia mellifera
Apis,Antirrhinum majus
Trochilidae,Aesculus pavia
Bees,Lupinus perennis
Sphex ichneumoneus,Asclepias syriaca
Halictidae,Cichorium intybus
Coleoptera,Gazania krebsiana
Megachile gravita,Clarkia xantiana
Self pollinated,Gentianella amarella ssp. acuta
Volucella,Arctostaphylos pungens
Hymenoptera,Helianthus schweinitzii
Apis,Cleome lutea
Euphydryas,Hymenoxys grandiflora
Lepidoptera,Carphephorus corymbosus
Bees,Trillium luteum
Insecta,Escobaria minima
Trochilidae,Asclepias tuberosa
Hoplitis,Hydrophyllum canadense
Bembix nubilipennis,Asclepias verticillata
Diptera,Crataegus monogyna
Bombus affinis,Asclepias meadii
Trochilidae,Delphinium nudicaule
Trochilidae,Mimulus dentatus
Bees,Cryptantha intermedia
Bees,Thelesperma subnudum
Erebia epipsodea,Leucocrinum montanum
Lepidoptera,Diospyros virginiana
Colletes scopiventer,Callirhoe involucrata
Bombus,Lygodesmia juncea
Diptera,Caltha palustris
Bees,Dasiphora fruticosa
Wind,Koanophyllon solidaginoides
Ceratina dupla,Trillium grandiflorum
Bees,Anticlea elegans var. elegans
Self pollinated,Sonchus arvensis
Bombus fervidus,Asclepias sullivantii
Perizoma,Silene vulgaris
Bees,Melanthera integrifolia
Bees,Nolina microcarpa
Trochilidae,Coreopsis pubescens
Lasioglossum,Arctomecon humilis
Apis,Convallaria majalis
Bees,Brodiaea filifolia
Papilio troilus,Platanthera ciliaris
Apis mellifera,Asclepias sullivantii
Bees,Helianthus heterophyllus
Melipona interrupta,Hybanthus prunifolius
Lepidoptera,Asclepias fascicularis
Wasps,Cephalanthus occidentalis
Chlorodrepanis virens virens,Hibiscadelphus giffardianus
Bees,Vaccinium macrocarpon
Apis,Agastache pallidiflora
Bombus,Vernonia baldwinii
Coleoptera,Achillea millefolium
Bees,Penstemon degeneri
Osmia brevis,Penstemon caryi
Bees,Acacia brevispica
Diptera,Convallaria majalis
Bombus flavifrons,Oxytropis sericea
Lepidoptera,Asclepias exaltata
Bees,Nolina brittoniana
Andrenidae,Fritillaria gentneri
Phyciodes pulchella pulchella,Erigeron decumbens
Bees,Limonium otolepis
Bombus,Liatris aspera
Bombus lucorum,Lonicera japonica
Papilio multicaudata,Hemerocallis fulva
Lepidoptera,Astragalus trichopodus
Lepidoptera,Diplacus aurantiacus
Wasps,Eriogonum fasciculatum var. polifolium
Bees,Chamaedaphne calyculata
Pieris rapae,Platanthera blephariglottis
Bees,Penstemon hirsutus
Birds,Hibiscus kokio
Archilochus colubris,Spigelia marilandica
Bombus,Townsendia spathulata
Apis,Flueggea leucopyrus
Greya politella,Lithophragma parviflorum
Wasps,Helenium autumnale
Bees,Tragopogon dubius
Perdita meconis,Arctomecon humilis
Bees,Nigella bucharica
Lepidoptera,Bidens aristosa
Bees,Cardamine bulbosa
Apis mellifera,Asclepias purpurascens
Andrena argemonis,Argemone hispida
Erynnis telemachus,Ribes cereum
Diptera,Amelanchier spicata
Apis,Daucus carota
Coleoptera,Symphyotrichum novae-angliae
Buprestidae,Thymophylla tephroleuca
Tetragonula carbonaria,Alectryon ramiflorus
Selasphorus rufus,Delphinium barbeyi
Melissodes,Arctostaphylos pungens
Gonia,Pyxidanthera barbulata
Eupeodes,Narthecium asiaticum
Bombus vagans,Mimulus ringens
Lepidoptera,Amelanchier alnifolia
Bees,Rhamnus californica ssp. californica
Bees,Eupatorium perfoliatum
Dufourea novaeangliae,Pontederia cordata
Bombus,Lathyrus eucosmus
Eristalis hirta,Zigadenus paniculatus
Bees,Prunus angustifolia
Bees,Phacelia tanacetifolia
Diptera,Pisonia sandwicensis
Bees,Wisteria frutescens
Augochlora pura,Goodyera pubescens
Eristalis,Narthecium asiaticum
Lepidoptera,Centranthus ruber
Lepidoptera,Ivesia gordonii
Coleoptera,Acacia etbaica
Lepidoptera,Cardamine concatenata
Hymenoptera,Symphoricarpos albus
Apis mellifera,Trichostema lanceolatum
Diptera,Abronia umbellata
Halictidae,Lobularia maritima
Bees,Antidesma pulvinatum
Halictus,Pycnanthemum tenuifolium
Diptera,Diphylleia cymosa
Lepidoptera,Sedum glaucophyllum
Bees,Viola adunca
Megachile submucida,Nigella sativa
Lasioglossum sisymbrii,Potentilla recta
Colletes mandibularis,Sabal etonia
Diptera,Actaea rubra
Hymenoptera,Lavandula latifolia
Diptera,Asclepias californica
Halictus ligatus,Cypripedium candidum
Acmaeodera pulchella,Magnolia ashei
Bees,Lobelia boykinii
Diptera,Pisonia umbellifera
Bees,Coreopsis tinctoria
Diptera,Sidalcea neomexicana
Xylocopa virginica,Conradina verticillata
Birds,Abutilon menziesii
Lepidoptera,Monardella macrantha
Lepidoptera,Amorpha fruticosa
Sphex ichneumoneus,Asclepias incarnata
Lepidoptera,Helianthus schweinitzii
Osmia calaminthae,Clinopodium ashei
Systoechus solitus,Clinopodium ashei
Bees,Ranunculus californicus
Apis,Corydalis ambigua
Anthidium palliventre,Chloropyron maritimum ssp. maritimus
Diptera,Fendlera rupicola
Trochilidae,Lonicera sempervirens
Bees,Rhamnus cathartica
Bombylius facialis,Pogogyne abramsii
Bombus,Delphinium pavonaceum
Coleoptera,Aruncus dioicus var. dioicus
Bombus,Astragalus schmolliae
Trochilidae,Chelone lyonii
Diptera,Amelanchier alnifolia
Phytomyza atricornis,Nigella sativa
Halictus tripartitus,Lasthenia burkei
Wasps,Symphyotrichum cordifolium
Hesperiidae,Liatris aspera
Diptera,Dryas octopetala
Bombus sylvicola,Oxytropis campestris var. chartacea
Archilochus colubris,Lilium grayi
Bees,Sidalcea neomexicana
Coleoptera,Trillium luteum
Coleoptera,Sambucus racemosa
Macrotera lobata,Astrophytum asterias
Bombus,Campanula americana
Bombus hortorum,Trifolium pratense
Diadasia rinconis,Coryphantha robustispina ssp. robustispina
Self pollinated,Sibara filifolia
Bees,Penstemon smalli
Osmia,Physaria filiformis
Bees,Sophora chrysophylla
Anthidium edwardsii,Trichostema lanceolatum
Bees,Monarda fistulosa
Birds,Santalum freycinetianum
Lasioglossum,Limnanthes vinculans
Rhingia,Convolvulus arvensis
Bombus huntii,Hymenoxys grandiflora
Lasioglossum,Pycnanthemum tenuifolium
Hymenoptera,Paeonia brownii
Apis mellifera,Trillium texanum
Bees,Purshia mexicana
Xylocopa suspecta,Echinodorus longipetalus
Wind,Plantago major
Lepidoptera,Eriogonum kennedyi
Diptera,Tagetes erecta
Hymenoptera,Argemone pleiacantha
Bombus griseocollis,Galearis spectabilis
Hymenoptera,Lithophragma parviflorum
Trochilidae,Impatiens capensis
Bees,Polygonatum biflorum
Bees,Lilium superbum
Bees,Callirhoe involucrata
Bombus,Sarracenia oreophila
Self pollinated,Cistanthe umbellata
Bombus,Goodyera tesselata
Lepidoptera,Liatris scariosa var. scariosa
Lepidoptera,Arnica cordifolia
Wasps,Clematis virginiana
Thrips,Arctostaphylos uva-ursi
Bombus,Arctostaphylos pungens
Lepidoptera,Prunus serotina
Lepidoptera,Asclepias hirtella
Bombus,Hibiscus moscheutos ssp. moscheutos
Bombus,Solanum dulcamara
Coleoptera,Geranium maculatum
Apis mellifera,Dicerandra frutescens var. immaculata
Halictidae,Chloropyron palmatum
Diptera,Cornus nuttallii
Lasioglossum,Sabal palmetto
Bees,Bidens aristosa
Bombus,Linnaea borealis
Coleoptera,Rudbeckia laciniata
Diptera,Phacelia imbricata
Bees,Vaccinium calycinum
Bees,Mertensia lanceolata
Lepidoptera,Eurybia macrophylla
Syrphidae,Napaea dioica
Trochilidae,Delphinium recurvatum
Andrena astragali,Zigadenus paniculatus
Lasioglossum,Cypripedium parviflorum
Trochilidae,Dicentra chrysantha
Coleoptera,Solidago caesia
Syrphidae,Rhodiola integrifolia ssp. leedyi
Poanes hobomok,Lithospermum caroliniense
Coleoptera,Iliamna rivulari
Andrena torulosa,Nemophila menziesii
Ceratina cockerelli,Jacquemontia reclinata
Bees,Rudbeckia hirta
Anthidium,Dalea ornata
Trochilidae,Primula angustifolia
Lygaeus kalmii,Asclepias uncialis
Bees,Geranium pratense
Bees,Tiarella cordifolia
Hesperiidae,Linnaea borealis
Lepidoptera,Clematis crispa
Wasps,Sericocarpus rigidus
Bombus flavifrons,Delphinium nuttallianum
Vespidae,Penstemon grahamii
Megachile semierma,Desmodium setigerum
Bees,Campsis radicans
Andrena miranda,Isotria verticillata
Melissodes bimaculata,Desmodium paniculatum
Bees,Lespedeza virginica
Diptera,Ipomoea pes-caprae
Lepidoptera,Styrax grandifolius
Bees,Oxalis violacea
Bees,Salix scouleriana
Bees,Astragalus osterhoutii
Megachilidae,Baccharis salicina
Lepidoptera,Hamamelis virginiana
Megachilidae,Nemophila menziesii
Lepidoptera,Pittosporum hosmeri
Lasioglossum,Chloropyron maritimum ssp. maritimus
Bombus,Penstemon confertus
Bees,Myoporum sandwicense
Lepidoptera,Eriogonum fasciculatum var. polifolium
Diabrotica undecimpunctata,Magnolia ashei
Lepidoptera,Asclepias lanceolata
Insecta,Vitis rotundifolia
Bees,Solidago curtisii
Bees,Philadelphus pubescens
Self pollinated,Cuscuta epithymum
Birds,Hibiscus arnottianus
Bees,Mirabilis macfarlanei
Bees,Hymenoxys hoopesii
Diptera,Myrsine sandwicensis
Bombus,Polygonatum bisorta
Bees,Chamaebatiaria millefolium
Bombus,Penstemon palmeri
Lepidoptera,Calochortus striatus
Bombus melanopygus,Hymenoxys grandiflora
Diptera,Diospyros virginiana
Hymenoptera,Cornus sericea ssp. sericea
Syrphidae,Ipomopsis aggregata
Bees,Tradescantia virginiana
Apis,Trifolium repens
Apis mellifera,Adolphia infesta
Coleoptera,Solidago curtisii
Diptera,Conyza canadensis
Bees,Lupinus texensis
Macroglossum stellatum,Dianthus gratianopolitanus
