0	562	1
1	563	1
2	564	1
3	565	1
4	566	1
5	567	1
1	568	1
6	569	1
7	570	1
8	571	1
9	572	1
1	573	1
6	574	1
10	575	1
2	576	1
11	577	1
12	578	1
2	579	1
13	580	1
2	581	1
14	582	1
15	583	1
16	584	1
17	585	1
2	586	1
2	587	1
4	588	1
18	589	1
1	590	1
6	591	1
2	592	1
2	593	1
19	594	1
1	595	1
20	596	1
11	597	1
21	598	1
16	599	1
2	600	1
16	601	1
2	602	1
22	603	1
2	604	1
23	605	1
16	606	1
16	607	1
19	608	1
4	609	1
16	610	1
15	611	1
16	612	1
24	613	1
1	614	1
25	615	1
6	616	1
26	617	1
2	618	1
6	619	1
6	620	1
27	621	1
2	622	1
2	623	1
4	624	1
20	625	1
1	626	1
16	627	1
28	628	1
29	629	1
16	630	1
30	631	1
31	632	1
32	633	1
6	634	1
33	635	1
6	636	1
2	637	1
1	602	1
16	638	1
2	639	1
34	640	1
22	641	1
9	642	1
26	643	1
16	644	1
35	645	1
36	565	1
2	646	1
37	647	1
38	648	1
39	649	1
40	650	1
41	651	1
42	652	1
2	653	1
43	654	1
44	655	1
2	656	1
45	657	1
2	658	1
46	659	1
2	660	1
47	661	1
1	662	1
6	663	1
25	664	1
20	665	1
35	666	1
20	667	1
48	589	1
49	668	1
50	669	1
36	670	1
51	671	1
4	672	1
52	673	1
4	674	1
16	675	1
53	676	1
54	677	1
2	678	1
2	679	1
2	680	1
11	681	1
16	682	1
9	683	1
2	684	1
6	685	1
55	686	1
16	687	1
56	688	1
4	689	1
22	690	1
11	691	1
2	692	1
57	693	1
58	694	1
11	695	1
7	654	1
59	696	1
2	697	1
1	698	1
16	699	1
29	700	1
6	701	1
4	702	1
2	703	1
60	641	1
2	663	1
6	704	1
26	701	1
4	681	1
16	705	1
61	706	1
16	707	1
4	708	1
6	709	1
2	710	1
9	711	1
2	712	1
61	713	1
2	714	1
6	715	1
16	716	1
35	717	1
62	718	1
1	719	1
63	720	1
1	721	1
64	722	1
2	723	1
16	724	1
2	725	1
6	712	1
6	726	1
65	677	1
20	683	1
2	727	1
19	728	1
66	729	1
20	730	1
67	620	1
6	731	1
19	732	1
68	722	1
2	733	1
16	734	1
11	713	1
69	735	1
2	736	1
2	737	1
70	738	1
20	696	1
1	739	1
36	740	1
16	741	1
16	742	1
2	743	1
16	695	1
11	744	1
71	745	1
2	746	1
22	747	1
4	748	1
19	749	1
16	750	1
2	751	1
2	752	1
6	753	1
4	754	1
15	755	1
72	582	1
73	756	1
2	757	1
29	758	1
16	759	1
22	760	1
16	761	1
1	687	1
4	762	1
74	763	1
15	764	1
2	765	1
16	766	1
2	767	1
4	745	1
7	768	1
1	769	1
75	770	1
76	771	1
16	772	1
2	773	1
77	576	1
78	774	1
79	775	1
29	776	1
36	777	1
20	778	1
80	779	1
16	780	1
76	781	1
4	782	1
31	783	1
2	784	1
16	785	1
1	786	1
4	632	1
2	787	1
81	676	1
2	788	1
19	789	1
22	790	1
82	791	1
3	792	1
1	793	1
16	794	1
83	795	1
84	572	1
1	717	1
16	796	1
85	797	1
25	798	1
30	799	1
2	800	1
4	677	1
2	801	1
2	802	1
82	803	1
63	745	1
25	804	1
6	805	1
86	806	1
25	756	1
16	719	1
16	807	1
2	808	1
6	809	1
87	669	1
61	810	1
88	811	1
1	599	1
16	812	1
16	813	1
2	706	1
4	814	1
17	815	1
20	816	1
89	817	1
90	711	1
16	818	1
91	819	1
92	820	1
93	661	1
2	795	1
94	821	1
1	822	1
2	823	1
16	824	1
95	825	1
4	766	1
2	826	1
96	582	1
19	827	1
2	828	1
16	829	1
61	830	1
97	795	1
2	831	1
98	832	1
1	814	1
99	669	1
100	570	1
2	833	1
2	834	1
101	835	1
2	836	1
16	837	1
16	838	1
4	839	1
1	620	1
16	840	1
16	841	1
2	842	1
1	843	1
26	730	1
1	844	1
1	845	1
16	618	1
16	846	1
11	847	1
2	848	1
102	849	1
103	850	1
54	851	1
104	852	1
19	853	1
11	854	1
43	855	1
29	856	1
16	857	1
4	816	1
29	858	1
2	769	1
16	859	1
2	860	1
105	861	1
106	718	1
107	862	1
1	751	1
2	863	1
108	864	1
11	865	1
1	866	1
15	665	1
15	867	1
2	868	1
30	869	1
19	722	1
16	870	1
41	847	1
29	871	1
16	872	1
2	873	1
109	874	1
110	852	1
6	875	1
29	876	1
15	592	1
2	877	1
22	878	1
111	879	1
11	880	1
26	572	1
112	881	1
29	882	1
1	622	1
2	883	1
63	847	1
113	884	1
2	885	1
16	886	1
17	887	1
114	888	1
115	889	1
15	890	1
116	891	1
4	892	1
117	893	1
118	745	1
119	894	1
2	895	1
2	896	1
1	584	1
2	897	1
16	898	1
120	899	1
19	806	1
15	900	1
121	901	1
16	902	1
120	903	1
71	904	1
4	905	1
49	906	1
97	783	1
122	576	1
11	888	1
1	907	1
16	586	1
70	771	1
16	908	1
123	855	1
1	909	1
124	576	1
2	910	1
125	911	1
16	912	1
1	913	1
16	914	1
2	915	1
71	916	1
126	855	1
6	917	1
4	918	1
127	919	1
2	920	1
2	921	1
2	922	1
128	923	1
16	924	1
2	925	1
129	589	1
17	926	1
130	927	1
25	855	1
22	756	1
16	928	1
2	929	1
2	930	1
4	931	1
16	932	1
20	933	1
4	934	1
11	935	1
131	936	1
17	937	1
132	683	1
133	938	1
1	939	1
134	576	1
2	940	1
11	941	1
16	942	1
36	943	1
135	944	1
6	945	1
136	576	1
16	946	1
137	659	1
2	947	1
1	948	1
30	949	1
2	950	1
19	951	1
2	952	1
2	953	1
2	954	1
136	887	1
138	648	1
16	955	1
16	714	1
1	956	1
2	957	1
2	958	1
139	635	1
22	722	1
2	959	1
2	960	1
1	733	1
19	961	1
140	962	1
2	963	1
4	795	1
141	797	1
16	964	1
142	965	1
82	966	1
2	967	1
16	968	1
35	969	1
20	970	1
2	971	1
80	613	1
16	972	1
2	973	1
143	974	1
52	683	1
22	567	1
15	975	1
144	562	1
6	976	1
35	977	1
16	978	1
6	979	1
145	855	1
2	980	1
20	655	1
11	981	1
1	982	1
146	983	1
2	984	1
16	985	1
2	986	1
2	987	1
1	745	1
2	988	1
63	694	1
16	989	1
6	990	1
2	991	1
147	652	1
2	992	1
148	993	1
